Section,=,Rectangular CFST,,,,,No of test,=,401,,,,,,,,,,,
Load type ,=,Axial compression with eccentrically indunced moments,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Refference,,,,,Geometry,,,,Steel,,,Concrete,,,,,,,,
Source,Refference,Year,Ref. No,Speciment,b (mm),h (mm),t (mm),L (mm),fy (MPa),fu (MPa),Ea (Gpa),fc (MPa),Ec (Gpa),fc type,et (mm),eb (mm),Bending Axis,δo (mm),N Test (kN),Notes
Bradford (LRC_WMe),Wei & Han,2000,[121],Scp3-1,120.00,120.00,5.86,2600.00,321.10,,200.00,23.55,,Cyl,15.00,15.00,z-z,,754.60,
Bradford (LRC_WMe),Wei & Han,2000,[121],Scp3-2,120.00,120.00,5.86,2600.00,321.10,,200.00,23.55,,Cyl,30.00,30.00,z-z,,548.80,
Bradford (LRC_WMe),Wei & Han,2000,[121],Scp3-3,120.00,120.00,5.86,2600.00,321.10,,200.00,23.55,,Cyl,50.00,50.00,z-z,,510.60,
Bradford (LRC_WMe),Wei & Han,2000,[121],Scp4-1,140.00,140.00,5.86,2600.00,321.10,,200.00,19.22,,Cyl,15.00,15.00,z-z,,1014.30,
Bradford (LRC_WMe),Wei & Han,2000,[121],Scp4-2,140.00,140.00,5.86,2600.00,321.10,,200.00,19.22,,Cyl,30.00,30.00,z-z,,803.60,
Bradford (LRC_WMe),Wei & Han,2000,[121],Scp4-3,140.00,140.00,5.86,2600.00,321.10,,200.00,18.76,,Cyl,40.00,40.00,z-z,,735.00,
Bradford (LRC_WMe),Wei & Han,2000,[121],Scp4-4,140.00,140.00,5.86,2600.00,321.10,,200.00,18.76,,Cyl,60.00,60.00,z-z,,555.70,
Bradford (LRC_WMe),Wei & Han,2000,[121],Scp5-1,200.00,200.00,5.86,2600.00,321.10,,200.00,26.77,,Cyl,30.00,30.00,z-z,,1793.40,
Bradford (LRC_WMe),Wei & Han,2000,[121],Scp5-2,200.00,200.00,5.86,2600.00,321.10,,200.00,22.79,,Cyl,50.00,50.00,z-z,,1425.90,
Bradford (LRC_WMe),Wei & Han,2000,[121],Scp5-3,200.00,200.00,5.86,2600.00,321.10,,200.00,26.77,,Cyl,80.00,80.00,z-z,,1200.50,
Bradford (LRC_WMe),Han & Yao,2004,[17],lssc2-1,200.00,200.00,3.00,2310.00,303.50,,206.50,46.80,,Cyl,30.00,30.00,y-y,,1450.00,
Bradford (LRC_WMe),Han & Yao,2004,[17],lssc2-2,200.00,200.00,3.00,2310.00,303.50,,206.50,46.80,,Cyl,30.00,30.00,y-y,,1415.00,
Bradford (LRC_WMe),Han & Yao,2004,[17],lsh2-1,200.00,200.00,3.00,2310.00,303.50,,206.50,46.80,,Cyl,30.00,30.00,y-y,,1502.00,
Bradford (LRC_WMe),Han & Yao,2004,[17],lsh2-2,200.00,200.00,3.00,2310.00,303.50,,206.50,46.80,,Cyl,30.00,30.00,y-y,,1535.00,
Bradford (LRC_WMe),Han & Yao,2004,[17],lsv2,200.00,200.00,3.00,2310.00,303.50,,206.50,46.80,,Cyl,30.00,30.00,y-y,,1620.00,
Bradford (LRC_WMe),Zhang et al.,2004,[122],SA1,150.20,150.20,2.91,1110.00,319.30,,200.00,68.50,,Cyl,1.10,1.10,y-y,,2352.00,
Bradford (LRC_WMe),Zhang et al.,2004,[122],SA2,149.50,149.50,2.89,2200.00,319.30,,200.00,68.50,,Cyl,3.50,3.50,y-y,,2077.00,
Bradford (LRC_WMe),Zhang et al.,2004,[122],SA3,148.60,148.60,2.93,3101.00,319.30,,200.00,68.50,,Cyl,2.50,2.50,y-y,,1558.00,
Bradford (LRC_WMe),Zhang et al.,2004,[122],SA4,151.40,151.40,4.77,1085.00,316.60,,200.00,68.50,,Cyl,1.10,1.10,y-y,,2597.00,
Bradford (LRC_WMe),Zhang et al.,2004,[122],SA5,150.00,150.00,4.90,2201.00,316.60,,200.00,68.50,,Cyl,2.00,2.00,y-y,,2381.00,
Bradford (LRC_WMe),Zhang et al.,2004,[122],SA6,150.70,150.70,4.89,3100.00,316.60,,200.00,68.50,,Cyl,3.50,3.50,y-y,,1627.00,
Bradford (LRC_WMe),Zhang et al.,2004,[122],RA1,134.90,175.70,2.91,993.00,319.30,,200.00,68.50,,Cyl,1.00,1.00,y-y,,2401.00,
Bradford (LRC_WMe),Zhang et al.,2004,[122],RA2,136.30,176.50,2.91,1980.00,319.30,,200.00,68.50,,Cyl,3.00,3.00,y-y,,2283.00,
Bradford (LRC_WMe),Zhang et al.,2004,[122],RA3,124.60,199.30,2.92,921.00,319.30,,200.00,68.50,,Cyl,0.90,0.90,y-y,,2636.00,
Bradford (LRC_WMe),Zhang et al.,2004,[122],RA4,125.90,199.90,2.90,1829.00,319.30,,200.00,68.50,,Cyl,1.50,1.50,y-y,,2303.00,
Bradford (LRC_WMe),Zhang et al.,2004,[122],SE1,149.40,149.40,2.89,1090.00,319.30,,200.00,68.50,,Cyl,43.00,43.00,y-y,,1147.00,
Bradford (LRC_WMe),Zhang et al.,2004,[122],SE2,150.40,150.40,2.91,1115.00,319.30,,200.00,68.50,,Cyl,22.00,22.00,y-y,,1597.00,
Bradford (LRC_WMe),Zhang et al.,2004,[122],SE3,149.80,149.80,2.92,2203.00,319.30,,200.00,68.50,,Cyl,23.50,23.50,y-y,,1274.00,
Bradford (LRC_WMe),Zhang et al.,2004,[122],SE4,148.30,148.30,2.87,3101.00,319.30,,200.00,68.50,,Cyl,26.00,26.00,y-y,,941.00,
Bradford (LRC_WMe),Zhang et al.,2004,[122],SE5,152.10,152.10,4.82,1105.00,316.60,,200.00,68.50,,Cyl,41.50,41.50,y-y,,1416.00,
Bradford (LRC_WMe),Zhang et al.,2004,[122],SE6,150.60,150.60,4.88,1100.00,316.60,,200.00,68.50,,Cyl,21.10,21.10,y-y,,1901.00,
Bradford (LRC_WMe),Zhang et al.,2004,[122],SE7,150.80,150.80,4.86,2199.00,316.60,,200.00,68.50,,Cyl,21.00,21.00,y-y,,1519.00,
Bradford (LRC_WMe),Zhang et al.,2004,[122],SE8,150.40,150.40,4.86,3100.00,316.60,,200.00,68.50,,Cyl,25.50,25.50,y-y,,1103.00,
Bradford (LRC_WMe),Zhang et al.,2004,[122],RE1,135.70,176.20,2.91,988.00,319.30,,200.00,68.50,,Cyl,20.50,20.50,y-y,,1911.00,
Bradford (LRC_WMe),Zhang et al.,2004,[122],RE2,134.10,173.50,2.93,989.00,319.30,,200.00,68.50,,Cyl,41.00,41.00,y-y,,1343.00,
