Type,AISC_Manual_Label,W,As (mm2),h (mm),b (mm),t (mm),tdes (mm),fy (MPa),fc (MPa),L (mm),Pno ANN (kN)
R_HSS,HSS127X50.8X6.4,15.6,1880.0,127.0,50.8,6.35,5.92,800,35,4000,6.6389966
R_HSS,HSS88.9X88.9X6.4,15.6,1880.0,88.9,88.9,6.35,5.92,800,65,4500,193.20718
R_HSS,HSS101.6X76.2X6.4,15.6,1880.0,102.0,76.2,6.35,5.92,600,55,4250,240.62059
R_HSS,HSS127X50.8X6.4,15.6,1880.0,127.0,50.8,6.35,5.92,600,75,3500,203.69098
R_HSS,HSS127X50.8X6.4,15.6,1880.0,127.0,50.8,6.35,5.92,800,45,3250,1.8004886
R_HSS,HSS101.6X76.2X6.4,15.6,1880.0,102.0,76.2,6.35,5.92,240,45,4500,178.20558
R_HSS,HSS101.6X76.2X6.4,15.6,1880.0,102.0,76.2,6.35,5.92,600,45,3750,236.57057
R_HSS,HSS88.9X88.9X6.4,15.6,1880.0,88.9,88.9,6.35,5.92,420,65,2750,615.67737
R_HSS,HSS127X50.8X6.4,15.6,1880.0,127.0,50.8,6.35,5.92,420,45,4000,446.4397
R_HSS,HSS101.6X76.2X6.4,15.6,1880.0,102.0,76.2,6.35,5.92,800,65,2750,320.61096
R_HSS,HSS88.9X88.9X6.4,15.6,1880.0,88.9,88.9,6.35,5.92,600,35,3250,273.26392
R_HSS,HSS101.6X76.2X6.4,15.6,1880.0,102.0,76.2,6.35,5.92,240,65,4500,204.34354
R_HSS,HSS101.6X76.2X6.4,15.6,1880.0,102.0,76.2,6.35,5.92,800,65,4000,227.53659
R_HSS,HSS101.6X76.2X6.4,15.6,1880.0,102.0,76.2,6.35,5.92,240,35,4500,160.72871
R_HSS,HSS127X50.8X6.4,15.6,1880.0,127.0,50.8,6.35,5.92,420,75,3750,550.1873
R_HSS,HSS88.9X63.5X7.9,15.6,1900.0,88.9,63.5,7.94,7.39,800,65,2750,322.96658
R_HSS,HSS127X50.8X6.4,15.6,1880.0,127.0,50.8,6.35,5.92,600,35,4000,140.34409
R_HSS,HSS101.6X76.2X6.4,15.6,1880.0,102.0,76.2,6.35,5.92,800,55,3500,250.4903
R_HSS,HSS101.6X76.2X6.4,15.6,1880.0,102.0,76.2,6.35,5.92,600,65,3750,282.122
