Section,=,Rectangular CFST,,,No of tests =,,1003,,,,,,,,,,
Load type ,=,"Axial compression, no moment",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Refference,,,,,Geometry,,,,Steel,,,Concrete,,,,,
Source,Refference,Year,Ref. No,Speciment,b (mm),h (mm),t (mm),L (mm),fy (MPa),fu (MPa),Ea (Gpa),fc (MPa),Ec (Gpa),fc type,δo (mm),N Test (kN),Notes
Bradford (SRC_NM),Liu & Gho,2005,[36],1A4-1,100.00,130.00,5.80,390.00,300.00,,200.00,74.70,,Cyl,,1601.00,
Bradford (SRC_NM),Liu & Gho,2005,[36],1A4-2,100.00,130.00,5.80,390.00,300.00,,200.00,74.70,,Cyl,,1566.00,
Bradford (SRC_NM),Liu & Gho,2005,[36],1A5-1,100.00,130.00,5.80,390.00,300.00,,200.00,92.00,,Cyl,,1854.00,
Bradford (SRC_NM),Liu & Gho,2005,[36],1A5-2,100.00,130.00,5.80,390.00,300.00,,200.00,92.00,,Cyl,,1779.00,
Bradford (SRC_NM),Liu & Gho,2005,[36],1A6-1,170.00,220.00,5.80,660.00,300.00,,200.00,74.70,,Cyl,,3684.00,
Bradford (SRC_NM),Liu & Gho,2005,[36],1A6-2,170.00,220.00,5.80,660.00,300.00,,200.00,74.70,,Cyl,,3717.00,
Bradford (SRC_NM),Liu & Gho,2005,[36],1A9-1,120.00,120.00,4.00,360.00,495.00,,200.00,56.00,,Cyl,,1739.00,
Bradford (SRC_NM),Liu & Gho,2005,[36],1A9-2,120.00,120.00,4.00,360.00,495.00,,200.00,56.00,,Cyl,,1718.00,
Bradford (SRC_NM),Liu & Gho,2005,[36],1A12-1,130.00,130.00,4.00,390.00,495.00,,200.00,56.00,,Cyl,,1963.00,
Bradford (SRC_NM),Liu & Gho,2005,[36],1A12-2,130.00,130.00,4.00,390.00,495.00,,200.00,56.00,,Cyl,,1988.00,
Bradford (SRC_NM),Liu et al.,2003,[37],C1-1,98.20,100.30,4.18,300.00,550.00,,200.00,56.60,,Cyl,,1490.00,
