b (mm),h (mm),t (mm),L (mm),fy (MPa),Ea (Gpa),fc (MPa),N Test (kN),short or not,bedistel
100.00,100.00,4.00,400.00,239.80,200.00,32.40,970.00,yse,no
100.00,100.00,4.00,400.00,239.80,200.00,32.40,921.20,yse,no
100.00,100.00,4.00,400.00,239.80,200.00,32.40,960.40,yse,no
100.00,100.00,2.29,300.00,194.20,206.00,32.00,497.40,yse,no
100.00,100.00,2.29,300.00,194.20,206.00,32.00,498.00,yse,no
100.00,100.00,2.20,300.00,339.40,214.00,21.40,511.00,yse,no
100.00,100.00,2.20,300.00,339.40,214.00,21.40,510.00,yse,no
100.00,100.00,2.99,300.00,288.40,206.00,20.60,529.00,yse,no
100.00,100.00,2.99,300.00,288.40,206.00,20.60,528.00,yse,no
100.00,100.00,4.25,300.00,284.50,226.00,19.80,667.00,yse,no
100.00,100.00,4.25,300.00,284.50,226.00,19.80,666.00,yse,no
148.00,148.00,4.38,444.00,262.00,206.00,25.40,1153.00,yse,no
148.00,148.00,4.38,444.00,262.00,206.00,40.50,1414.00,yse,no
148.00,148.00,4.38,444.00,262.00,206.00,40.50,1402.00,yse,no
148.00,148.00,4.38,444.00,262.00,206.00,77.00,2108.00,yse,no
215.00,215.00,4.38,645.00,262.00,206.00,25.40,1777.00,yse,no
215.00,215.00,4.38,645.00,262.00,206.00,41.10,2424.00,yse,no
215.00,215.00,4.38,645.00,262.00,206.00,41.10,2393.00,yse,no
215.00,215.00,4.38,645.00,262.00,206.00,80.30,3837.00,yse,no
323.00,323.00,4.38,969.00,262.00,206.00,25.40,3367.00,yse,no
323.00,323.00,4.38,969.00,262.00,206.00,41.10,5950.00,yse,no
323.00,323.00,4.38,969.00,262.00,206.00,41.10,4830.00,yse,no
323.00,323.00,4.38,969.00,262.00,206.00,80.30,7481.00,yse,no
144.00,144.00,6.36,432.00,618.00,206.00,25.40,2572.00,yse,no
144.00,144.00,6.36,432.00,618.00,206.00,40.50,2808.00,yse,no
144.00,144.00,6.36,432.00,618.00,206.00,40.50,2765.00,yse,no
144.00,144.00,6.36,432.00,618.00,206.00,77.00,3399.00,yse,no
211.00,211.00,6.36,633.00,618.00,206.00,25.40,3920.00,yse,no
211.00,211.00,6.36,633.00,618.00,206.00,40.50,4428.00,yse,no
211.00,211.00,6.36,633.00,618.00,206.00,40.50,4484.00,yse,no
211.00,211.00,6.36,633.00,618.00,206.00,77.00,5758.00,yse,no
319.00,319.00,6.36,957.00,618.00,206.00,25.40,6320.00,yse,no
319.00,319.00,6.36,957.00,618.00,206.00,41.10,7780.00,yse,no
318.00,318.00,6.36,954.00,618.00,206.00,41.10,7473.00,yse,no
319.00,319.00,6.36,957.00,618.00,206.00,85.10,10357.00,yse,no
120.00,120.00,6.36,360.00,618.00,206.00,25.40,2819.00,yse,no
120.00,120.00,6.47,360.00,835.00,206.00,40.50,2957.00,yse,no
120.00,120.00,6.47,360.00,835.00,206.00,40.50,2961.00,yse,no
120.00,120.00,6.47,360.00,835.00,206.00,77.00,3318.00,yse,no
175.00,175.00,6.47,525.00,835.00,206.00,25.40,4210.00,yse,no
175.00,175.00,6.47,525.00,835.00,206.00,40.50,4493.00,yse,no
175.00,175.00,6.47,525.00,835.00,206.00,40.50,4542.00,yse,no
175.00,175.00,6.47,525.00,835.00,206.00,77.00,5366.00,yse,no
265.00,265.00,6.47,795.00,835.00,206.00,25.40,6546.00,yse,no
265.00,265.00,6.47,795.00,835.00,206.00,41.10,7117.00,yse,no
265.00,265.00,6.47,795.00,835.00,206.00,41.10,7172.00,yse,no
265.00,265.00,6.47,795.00,835.00,206.00,80.30,8990.00,yse,no
210.00,210.00,5.48,630.00,294.00,206.00,39.10,3184.00,yse,no
211.00,211.00,5.48,633.00,294.00,206.00,91.10,4775.00,yse,no
210.00,210.00,4.50,630.00,277.00,206.00,39.10,2714.00,yse,no
211.00,211.00,4.50,633.00,277.00,206.00,91.10,4372.00,yse,no
211.00,211.00,8.83,633.00,536.00,206.00,39.10,5900.00,yse,no
211.00,211.00,8.83,633.00,536.00,206.00,91.10,7010.00,yse,no
204.00,204.00,5.95,612.00,540.00,206.00,39.10,4027.00,yse,no
204.00,204.00,5.95,612.00,540.00,206.00,91.10,5305.00,yse,no
180.00,180.00,9.45,540.00,825.00,206.00,39.10,6805.00,yse,no
180.00,180.00,9.45,540.00,825.00,206.00,91.10,7405.00,yse,no
180.00,180.00,6.60,540.00,824.00,206.00,31.10,5030.00,yse,no
180.00,180.00,6.60,540.00,824.00,206.00,91.10,5875.00,yse,no
200.00,200.00,6.16,600.00,781.00,212.00,119.00,6645.00,yse,no
200.00,200.00,3.17,600.00,781.00,212.00,119.00,4910.00,yse,no
200.00,200.00,6.39,600.00,310.00,209.00,119.00,4965.00,yse,no
200.00,200.00,3.09,600.00,310.00,209.00,119.00,3899.00,yse,no
305.00,305.00,8.90,1220.00,560.00,197.00,110.00,14116.00,yse,no
305.00,305.00,6.10,1220.00,660.00,194.00,110.00,12307.00,yse,no
305.00,305.00,8.60,1220.00,259.00,197.00,110.00,11390.00,yse,no
305.00,305.00,5.80,1220.00,471.00,204.00,110.00,11568.00,yse,no
200.30,200.30,4.35,601.00,323.00,200.00,29.60,1613.00,yse,no
300.50,300.50,6.10,902.00,395.00,200.00,26.50,2766.00,yse,no
100.00,100.00,2.18,300.00,300.00,200.00,53.70,697.00,yse,no
200.10,200.10,4.35,601.00,323.00,200.00,57.90,2563.00,yse,no
300.60,300.60,6.10,902.00,395.00,200.00,58.90,5481.00,yse,no
200.20,200.20,4.35,601.00,323.00,200.00,63.70,2825.00,yse,no
200.30,200.30,4.35,601.00,323.00,200.00,29.60,2230.00,yse,no
300.50,300.50,6.10,902.00,395.00,200.00,26.50,5102.00,yse,no
200.10,200.10,4.35,601.00,323.00,200.00,57.90,3201.00,yse,no
200.30,200.30,4.35,601.00,323.00,200.00,63.70,3417.00,yse,no
99.90,99.90,4.90,301.00,289.00,200.00,24.64,800.00,yse,no
99.80,99.80,4.90,300.00,300.00,200.00,74.88,900.00,yse,no
100.10,100.10,4.20,301.00,333.00,200.00,27.76,700.00,yse,no
100.00,100.00,4.20,302.00,333.00,200.00,27.76,680.00,yse,no
100.00,100.00,4.10,300.00,333.00,200.00,77.76,970.00,yse,no
100.00,100.00,4.10,301.00,333.00,200.00,46.08,880.00,yse,no
99.90,99.90,4.00,301.00,333.00,200.00,46.08,830.00,yse,no
99.80,99.80,4.80,302.00,289.00,200.00,25.52,780.00,yse,no
99.70,99.70,4.70,301.00,289.00,200.00,46.56,1000.00,yse,no
99.70,99.70,4.73,302.00,289.00,200.00,79.12,1050.00,yse,no
99.90,99.90,4.10,301.00,333.00,200.00,79.12,1130.00,yse,no
200.00,200.00,3.00,600.00,303.50,200.00,46.80,2458.00,yse,no
200.00,200.00,3.00,601.00,303.50,200.00,46.80,2594.00,yse,no
200.00,200.00,3.00,602.00,303.50,200.00,46.80,2306.00,yse,no
200.00,200.00,3.00,603.00,303.50,200.00,46.80,2284.00,yse,no
200.00,200.00,3.00,604.00,303.50,200.00,46.80,2550.00,yse,no
200.00,200.00,3.00,605.00,303.50,200.00,46.80,2587.00,yse,no
149.80,149.80,4.27,600.00,412.00,200.00,31.90,1598.00,yse,no
149.80,149.80,4.27,1200.00,412.00,200.00,31.90,1586.00,yse,no
101.60,101.60,2.13,914.00,336.00,203.00,23.80,524.00,yse,no
101.60,101.60,2.13,914.00,336.00,203.00,23.80,488.00,yse,no
101.60,101.60,3.18,914.00,336.00,203.00,29.30,667.00,yse,no
101.60,101.60,3.18,914.00,336.00,203.00,29.30,676.00,yse,no
127.00,127.00,4.80,914.00,492.00,203.00,45.50,1156.00,yse,no
127.00,127.00,2.13,914.40,484.72,,44.82,1601.36,yse,no
101.60,101.60,2.13,914.40,330.96,,23.44,524.00,yse,no
101.60,101.60,3.18,914.40,330.96,,23.44,488.41,yse,no
101.60,101.60,3.18,914.40,330.96,,28.82,667.23,yse,no
101.60,101.60,3.18,914.40,330.96,,28.82,676.13,yse,no
180.00,180.00,6.30,1000.00,397.00,200.00,92.40,4060.00,yse,no
260.00,260.00,7.10,1000.00,426.00,200.00,92.40,7488.00,yse,no
120.00,120.00,5.00,500.00,304.00,200.00,47.00,1440.00,yse,no
120.00,120.00,5.00,500.00,438.00,200.00,46.00,1690.00,yse,no
120.00,120.00,5.00,500.00,327.00,200.00,96.00,2040.00,yse,no
