b (mm),h (mm),t (mm),L (mm),fy (MPa),fc (MPa),N Test (kN),original_index
101.6,101.6,2.32,300.0,145.0,74.4,651.0,153
150.0,150.0,12.0,450.0,756.0,152.3,8585.0,831
305.0,305.0,8.6,1220.0,259.0,110.0,11390.0,286
265.0,265.0,6.47,795.0,835.0,41.1,7172.0,673
160.4,125.1,2.85,480.0,255.1,58.6,1855.0,129
164.6,119.7,2.01,480.0,305.1,58.6,1800.0,522
75.0,65.0,3.0,250.0,370.0,52.0,568.0,820
120.0,120.0,4.0,360.0,495.0,56.0,1718.0,73
211.0,211.0,8.83,633.0,536.0,91.1,7008.0,680
120.0,120.0,8.0,500.0,323.0,103.0,2270.0,939
240.0,120.0,2.65,720.0,340.1,22.0,968.0,591
161.1,125.0,2.81,480.0,255.1,58.6,2040.0,131
200.0,200.0,2.0,600.0,404.0,50.9,2054.0,972
148.6,148.6,2.93,3101.0,319.3,68.5,1558.0,426
149.37,149.37,4.94,1514.0,762.0,113.0,4833.0,805
130.3,102.3,5.14,390.0,347.3,49.4,1640.0,118
199.5,199.5,10.1,600.0,381.68,24.47,3900.0,846
100.4,100.4,3.79,300.0,306.7,130.8,1676.0,889
150.0,150.0,8.0,450.0,779.0,148.0,6974.0,873
160.3,126.0,2.92,480.0,255.1,49.4,1560.0,121
100.0,100.0,2.0,400.0,284.6,32.4,725.0,192
150.0,90.0,3.0,2250.0,320.0,33.4,691.0,610
215.0,215.0,4.38,645.0,262.0,80.3,3837.0,239
265.0,265.0,6.47,795.0,835.0,25.4,6546.0,264
110.0,110.0,5.0,330.0,701.0,54.5,2234.0,709
120.0,120.0,6.47,360.0,835.0,25.4,2819.0,663
152.8,76.5,4.47,635.0,383.0,26.0,1006.0,375
161.4,105.9,2.96,480.0,255.1,49.4,1420.0,506
182.0,121.0,5.7,540.0,514.53,43.2,2485.0,724
250.0,250.0,2.5,750.0,342.0,67.0,4040.0,924
148.0,148.0,4.38,444.0,262.0,40.5,1414.0,640
323.0,323.0,4.38,969.0,262.0,25.4,3367.0,240
98.99,98.99,4.95,3512.0,762.0,113.0,810.0,784
140.0,140.0,3.84,420.0,330.1,8.52,940.8,171
140.9,140.9,2.02,420.0,305.1,44.9,1280.0,102
200.5,200.5,6.3,600.0,437.88,24.47,2830.0,843
140.0,140.0,5.0,420.0,701.0,54.5,2840.0,711
